city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
New York Explorer Pass,"The New York Explorer pass lets you explore the city at your own pace and create an itinerary based on the attractions that appeal to you most. You can choose between a three, four, five or seven-attractions pass based on how much you want to see. Highlights include the Empire State Building, Moma, Edge NYC and much more. The pass includes a digital guide to help you find your way around the city.",[],,,[],"['What guests loved mostSee all reviews', 'What guests loved mostSee all reviews', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","New York Explorer Passthe New York Explorer Pass, New York"
Top of the Rock Admission,"With this ticket, you will get access to Top of the Rock – an observatory on top of Rockefeller Center where you can take in 360-degree views of the New York City skyline.  After ascending to the top, you can explore the expansive 9,500 square feet of unobstructed outdoor viewing space. From the deck, you will have the opportunity to admire spectacular views of iconic landmarks, such as the Empire State Building, the Statue of Liberty and Central Park.",[],['Admission to the Top of the Rock'],,[],"['What guests loved mostSee all reviews', 'What guests loved mostSee all reviews', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","Top of the Rock Admission30 Rockefeller Plaza, New York, NY, 10112Please enter from the entrance on West 50th Street, located between 5th and 6th Avenues, marked by the red carpet."
Broadway Tickets to The Lion King,"This experience in New York will give you the opportunity to watch a live theatre performance. You’ll have the chance to see the Broadway show of the award-winning The Lion King. During this performance at the Minskoff Theatre, you’ll also have the choice to sing along with the on-stage performers and listen to the background score by Tim Rice and Elton John.","['Opportunity to watch The Lion King at the Broadway', 'Option to sing along with the characters during the show', 'Chance to see the choreography at the Minskoff Theatre']",['Admission'],['Food and drinks'],"['Children under 12 years old must be accompanied by an adult.', 'Visitors must show a valid photo ID.', 'Please arrive at least 15 minutes before the activity starts.']","['The minimum age for participating in this experience is six years.\rPlease note that latecomers may not be seated immediately. Patrons arriving after the performance has begun will be seated at the discretion of the management.\rPlease be informed about the local, governmental policies prior to booking this experience.\rGuests under 18 years may also show a school photo ID.\rGuests who do not comply with these policies will be denied entry or asked to leave the theatre.\rShow more', 'Show more']","Broadway Tickets to The Lion KingMinskoff Theatre on 200 West 45 Street, New York, NY"
Edge Observation Deck Admission,"This ticket will give you the opportunity to discover the Edge Observation Deck, one of New York's most popular attractions, and experience a 360° view of the city.  The indoor and outdoor sky deck will allow you to admire Manhattan and some of its iconic landmarks, such as Central Park and the Statue of Liberty, from a height of 100 stories. During your visit, you will have access to the Glass Floor, a thrilling glass platform to walk above the city streets, the Angled Glass Walls, the Horizon Steps and the East Pointe.",[],"['Peak day general admission timed ticket', 'Access to indoor and outdoor sky deck', 'Digital souvenir photo']","['Transportation', 'Food and drinks', 'Personal expenses', 'Tips']",[],"['4.6 · Fabulous(185 reviews)See all reviews', '4.6 · Fabulous(185 reviews)See all reviews', '4.6 · Fabulous(185 reviews)', 'Good value4.5Facilities4.6Quality of service4.4Ease of access4.6', 'Good value4.5Facilities4.6Quality of service4.4Ease of access4.6', 'Good value4.5', 'Good value4.5', 'Good value', 'Good value', '4.5', '4.5', '', 'Facilities4.6', 'Facilities4.6', 'Facilities', 'Facilities', '4.6', '4.6', '', 'Quality of service4.4', 'Quality of service4.4', 'Quality of service', 'Quality of service', '4.4', '4.4', '', 'Ease of access4.6', 'Ease of access4.6', 'Ease of access', 'Ease of access', '4.6', '4.6', '']","Edge Observation Deck AdmissionThe Edge 30 Hudson Yards, New York, NY, 10001"
One World Observatory Ticket,"With this ticket, you'll get admission to the One World Observatory in New York City. You'll ascend in a SkyPod™ lift to the top of the skyscraper, where you'll progress through the See Forever Theater audiovisual experience and then get spectacular views over the city skyline from one of New York's highest points.  If you want to learn more, you'll be able to chat to the Skyline Concierges and if you have time to relax, you can go to the bar or restaurant here.",[],"['Skip-the-line admission (if option selected)', 'Flexible admission (if option selected)', 'One world explorer iPad experience (if option selected)', 'Allowance of USD 15 (if option selected)', 'Allowance of USD 5 (if option selected)']",['Skip the security line (if option selected)'],['Suitable for all fitness levels'],"['Please note that the ticket includes permission to skip the line and proceed directly to security. \rPlease note that the Combo tour option includes:\r- Skipping all the lines \r- Priority lane for security, entry and exit elevator \r- One World Explorer iPad experience \rShow more', 'Show more']","Departure pointOne World Trade Center, Fulton St 285, Manhattan, New York, NY, 10007"
Washington DC Monuments Tour from New York,"On this day trip from New York, you'll get to see some of Washington DC's most important monuments. You'll also see the White House, the Capitol Building and Arlington Cemetry. You'll be led by a knowledgeable guide who will share insight into the history of each site you visit. You'll also have 90 minutes of free time to have lunch and explore the nearby museums and galleries before making the four-hour journey back to New York.",[],"['Guide services', 'Transportation in an air-conditioned vehicle']","['Food and drinks', 'Gratuities']",['Suitable for all fitness levels'],"['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Please arrive at least 10 minutes before the activity starts.', 'Please arrive at least 10 minutes before the activity starts.']","Departure pointThe Manhattan at Times Square Hotel, 7th Ave 790, Manhattan, New York, NY, 10019This tour departs at 05:50 from 7th Avenue between 51st Street and 52nd Street. Please present your mobile voucher to your guide."
Edge Sky Deck,"With admission to Edge, you can visit the tallest outdoor sky deck in the Western hemisphere. You'll begin your adventure with a multimedia experience before heading to the deck, situated at 1100 ft above ground. On the deck, you'll get the sensation of floating in the sky thanks to the mid-air suspension, glass floor and the ability to lean out over the city.","['Highest outdoor sky deck in the Western Hemisphere', 'Chance to walk across clear glass on a suspended floor']",['Admission'],,['Children under 13 years old must be accompanied by an adult.'],"['Please choose between the following options at checkout:\rOption 1, Edge general admission: book a date and time for your visit\rOption 2, Edge flex admission: book a date and come any time on that day\rOption 3, Edge express admission: book a date, come any time on that day and receive skip-the-line services and priority lift access.\rPlease bring your ticket with you to the attraction.\rShow more', 'Show more']","Edge Sky Deck30 Hudson Yards, New York, NY, 10001Enter at Level 4, 'Shops & Restaurants'."
"Intrepid Sea, Air and Space Museum","With this ticket, you’ll have the chance to explore the history of iconic vehicles at the Intrepid Sea, Air and Space Museum.  You’ll discover the history of the USS Intrepid aircraft carrier, along with learning more about the space shuttle Enterprise with a visit to the Space Shuttle Pavilion. You’ll also be able to explore the Growler guided-missile submarine and spend time hearing the stories and first-hand accounts of people involved in the history of each vehicle.  You’ll have the opportunity to watch a film dedicated to the Intrepid, along with a film telling the story of the Kamikaze pilots, before having the chance to end your visit with a tour of a Concorde jet.",[],"['Admission to the submarine USS Growler', 'Admission to the Intrepid Museum', 'Access to the Space Shuttle Pavillion']","['Guide services and audio guide', 'Simulators and 3D movies']",['Requires a moderate level of physical fitness'],"['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.']","Departure pointIntrepid Sea, Air & Space Museum, 12th Avenue & 46th Street, Pier 86, New York City, NY, 10036"
NYC Central Park Bike Rental,"With this bike rental, you can enjoy a two-wheeled exploration of Central Park at your own pace. You can choose between a one or two-day rental, with a convenient collection point close to the park. As you cycle through New York's historic park, you'll pass by numerous landmarks such as Belvedere Castle, Central Park Zoo and the Conservatory Water. Bike rental team members can also recommend the best routes to take to make the most of your sightseeing cycle excursion.",[],"['Basket/bike bag', 'Helmet', 'Bike rental', 'Bicycle lock', 'Illustrated map']",['Tour guide'],['Suitable for all fitness levels'],"['This tour runs in all weather conditions. Please dress accordingly.\rTag-a-long bikes and child trailers are available to rent on site.\rA government-issued ID and credit card deposit are required. Your government-issued ID will be held by the supplier for the duration of the rental and will be returned upon the conclusion of your rental.\rCustomers under 18 years cannot rent a bike without an adult over the age of 18 present.\rAll children under 14 years must wear a helmet.\rShow more', 'Show more']","Departure pointW 56th St 56, Manhattan, New York, NY, 10019"
The Guggenheim Museum,"With admission to New York's Guggenheim Museum, you can discover a wide collection of contemporary art. You'll have access to the permanent collection as well as any temporary exhibitions. Depending on when you visit, you could explore activities the museum offers like lectures, performances, daily tours, film screenings and classes. You can also visit a gift shop selling books, art and more.",[],['Admission'],"['Hotel pickup and drop-off', 'Tips']",[],['Please note that the operation hours of the museum are as follows:\r- Monday–Sunday: 11:00–18:00\r The museum is accessible to wheelchair-users with the exception of the High Gallery. \r Please note that your voucher is valid only for the specified date and time.'],"The Guggenheim MuseumSolomon R. Guggenheim Museum: 1071 5th Ave, 10128, New York, NY"
Harbour Lights Cruise,"On this cruise, you'll get to experience New York City at sunset. While onboard, a guide will tell you insightful facts and stories about the sights you see along the way. During the cruise, you'll see several famous landmarks including the USS Intrepid, the Statue of Liberty, Newport Centre and the iconic Brooklyn Bridge. You may also enjoy a meal on board for an additional price.","['Chance to see New York City at sunset from the water', 'Chance to see several famous landmarks', 'Live commentary provided on board']","['Guide services', 'Complimentary WiFi on board']",,['Please arrive at least 45 minutes before the activity starts.'],"[""It's recommended to download the Circle Line Skyline Navigator app before boarding. \rChildren aged 0–2 can participate for free. Visit the box office to claim an infant ticket.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Circle Line Sightseeing Cruises""]","Harbour Lights CruisePier 83 - West 42nd Street at West Side Highway, New York, 10036"
Manhattan Skyline Cruise,"On this 90-minute cruise, you'll sail down the Hudson River to see New York City's skyline and several of its most popular landmarks. During the cruise, a guide will entertain you with interesting facts about the city. You will also have the chance to relax, take photos and use the on-board WiFi.  To begin the tour, the boat will take you along Manhattan's coastline to Liberty Island, where you will get an up-close look at the Statue of Liberty. Afterwards, you'll be able to see some of the city's famous bridges including the Brooklyn Bridge, Manhattan Bridge and Williamsburg Bridge.","[""Panoramic views of New York City's skyline from the water"", 'Chance to see the Statue of Liberty from 30 metres away', 'Insights about the city and its landmarks from your guide']","['Cruise ticket', 'WiFi access onboard', 'Guide services']",,['Please arrive at least 45 minutes before the activity starts.'],"['English (UK)ItalianGermanFrenchSpanishSimplified ChinesePortuguese', 'English (UK)', 'English (UK)', 'Italian', 'Italian', 'German', 'German', 'French', 'French', 'Spanish', 'Spanish', 'Simplified Chinese', 'Simplified Chinese', 'Portuguese', 'Portuguese']","Departure pointPier 83 - West 42nd Street at West Side Highway, New York, NY, 10036"
Hard Rock Cafe New York Times Square,"Rock your senses with a prix-fixe menu at the New York Hard Rock Cafe. Classic American cooking comes to the heart of Times Square, where you’ll enjoy a 2- or 3-course meal with your choice of theme. Each option comes with a drink (coffee, tea or soda) and dessert. Expect entrees like the classic cheeseburger, a half-rack of hickory-smoked ribs, salmon, steak and even some vegetarian options. Love all - Serve all!",[],"['All Taxes', 'Gratuities', 'Beverage: choice of soft drink, coffee or tea', 'One meal per person based on menu selected']","['Hotel pickup and drop-off', 'Alcoholic drinks (available to purchase)', 'Additional menu items outside the selected menu', 'Merchandise (available for purchase)']",[],[],"Departure pointHard Rock Cafe, Broadway 1501, Manhattan, New York, 10036"
Central Park Zoo Admission Ticket,"This ticket will grant you admission to the Central Park Zoo and its many attractions therein, such as the Tisch Children’s Zoo and a 4D theatre.  Upon admission, you’ll have the chance to explore the zoo’s many exhibits, which are split into three major biomes: the Tropic Zone, Temperate Territory and the Polar Circle. During your time in each of these areas, you’ll get the opportunity to admire animals such as snow leopards, grizzly bears, a colony of penguins from Antarctica and many others.  Additionally, you’ll gain entry to the Tisch Children’s Zoo, which offers interactions with goat sheep, ducks and cows. You’ll also be able to visit the zoo’s 4D theatre, where you’ll watch a 3D film with accompanying sensory effects.",[],"['Admission tickets', 'Admission to the 4D theatre']",,['Suitable for all fitness levels'],"[""Please note that the tour price includes the admission tickets to the Central Park Zoo and the Tisch Children's Zoo.\rPlease arrive at least 30 minutes before the zoo closes to gain entry. \rPlease follow the local COVID-19 guidelines and regulations in order to join the tour.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Wildlife Conservation Society""]","Departure pointCentral Park Zoo, 830 5th Ave, New York City, 10065-7001Please arrive at the listed address."
MJ the Musical Admission,"With this ticket, you will get to watch a jukebox musical that tells the story of the late 'King of Pop', Michael Jackson. Featuring amazing sets, costumes and choreography, this show will provide you with the opportunity to relive a Michael Jackson concert experience and give you insights into the performer’s artistry. You will be treated to live music and exhilarating dance performances that showcase Michael Jackson’s hits, including Beat It, Billie Jean and Thriller.","['A thrilling musical production that showcases the life of the King of Pop', 'Live performances directed and choreographed by a Tony Award winner', 'Music featuring hits such as the Man in the Mirror and Smooth Criminal']",['Admission'],,"['Children under 12 years old must be accompanied by an adult.', 'Visitors must show a valid photo ID.', 'Please arrive at least 30 minutes before the activity starts.']",['Please refer to the seating map in the photo gallery before booking your tickets. You will get the best available seats for your chosen category.\rPlease note that groups may not be seated together.\rChildren may be asked to present a photo ID as proof of age. Please bring a school ID or any valid ID.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Broadway Inbound'],"MJ the Musical AdmissionNeil Simon Theatre - 250 West 52nd Street, New York, NY, 10019"
Full-day Guided City Sightseeing Tour,"On this full-day guided city sightseeing tour, you'll get the opportunity to travel in a closed-top, glass-top or open-top bus through New York. You'll hop off at different stops to discover a few of the attractions you'll come across along the way. During the tour, you'll go on a drive through SoHo, Greenwich Village, the Financial District and Chinatown. Additionally, you'll walk through Rockefeller Center, Central Park, Madison Square Park and outside the 9/11 Memorial & Museum. You'll also ride on the Staten Island Ferry to see New York's skyline and catch a glimpse of Brooklyn and Manhattan.",[],"['Transportation on a luxury air-conditioned bus', 'Bottled water on board the bus', 'Staten Island Ferry ride', 'Guide services']","['Hotel pickup and drop-off', 'Lunch', 'Tips']",['Suitable for all fitness levels'],"['Please arrive at least 20 minutes before the activity starts.', 'Please arrive at least 20 minutes before the activity starts.']","Departure point7th Ave 770, Manhattan, New York, NY, 10019Meet your guide at the listed address in the middle of the block between 50th Street and 51st Street."
Washington DC Day Trip from New York,"On this full-day tour, you’ll travel from New York to Washington DC to see some of the USA’s most famous landmarks. The scenic route will take you through the states of New Jersey, Delaware and Maryland before arriving in the capital. You’ll make a stop at Arlington National Cemetery to visit JFK’s grave before heading to several sites of governance. You’ll visit the exteriors of the White House, Capitol building and the Senate and see the Smithsonian National Air and Space Museum.  Your itinerary will also include photo stops at the Lincoln, Washington, Vietnam and Korean Memorials and a panoramic drive before returning to New York.",[],"['Transportation by van or bus', 'WiFi on board (busses only)', 'Guide services']","['Tips', 'Hotel pickup and drop-off']",['Requires a moderate level of physical fitness'],"['English (UK)FrenchGermanItalianJapaneseTraditional ChinesePortugueseSpanish', 'English (UK)', 'English (UK)', 'French', 'French', 'German', 'German', 'Italian', 'Italian', 'Japanese', 'Japanese', 'Traditional Chinese', 'Traditional Chinese', 'Portuguese', 'Portuguese', 'Spanish', 'Spanish']","Departure pointW 42nd St 330, Manhattan, New York City, NY, 10036Tour departs at 06:30.

Meet at the Bus Terminal Building on 42nd Street (between 8th and 9th Avenues), in front of the Port Authority side entrance."
NY 60 min Statue of Liberty Sightseeing Cruise,"See the Statue of Liberty from the water and enjoy a comfortable alternative to crowded ferry transit when you book this boat tour of New York Harbor. Perfect for time-pressed travelers, this tour departs multiple times daily from Pier 36. Hop aboard, Choose from indoor or outdoor viewing areas, listen to live narration, and get within just 100 feet of Lady Liberty. Enjoy a stress-free, relaxing way to discover the iconic Statue of Liberty. Enjoy the New York Harbor Skyline.",[],['Statue of Liberty 60 minute sightseeing cruise'],['Do not get off at the Statue of Liberty'],[],"['3.4 · (19 reviews)See all reviews', '3.4 · (19 reviews)See all reviews', '3.4 · (19 reviews)', 'Good value3.3Facilities3.1Quality of service3.1Ease of access3.6', 'Good value3.3Facilities3.1Quality of service3.1Ease of access3.6', 'Good value3.3', 'Good value3.3', 'Good value', 'Good value', '3.3', '3.3', '', 'Facilities3.1', 'Facilities3.1', 'Facilities', 'Facilities', '3.1', '3.1', '', 'Quality of service3.1', 'Quality of service3.1', 'Quality of service', 'Quality of service', '3.1', '3.1', '', 'Ease of access3.6', 'Ease of access3.6', 'Ease of access', 'Ease of access', '3.6', '3.6', '']","Departure pointPier 36 NYC, South St 299, Manhattan, New York, 10002Please check in at slip 3"
Woodbury Common Premium Outlets Tour,"On this tour, you will have the opportunity to spend a day shopping at one of New York's largest outlet centres. A bus will pick you up from a centrally-located meeting point in Manhattan and take you to Woodbury Common Premium Outlets. Once here, you will have time to explore the more than 220 brand-name shops and use the discount coupon book included in this tour.",[],"['Guaranteed reserved seating', 'Round-trip bus transportation']","['Food and drinks', 'Tips']",['Suitable for all fitness levels'],"['Please arrive at least 10 minutes before the activity starts.', 'Please arrive at least 10 minutes before the activity starts.']","Departure pointBroadway 1651, Manhattan, New York, NY, 10019Meet at McDonald's, located at the corner of Broadway and 51st Street."
Museum of Modern Art Ticket,"This ticket will grant you access to one of New York's most recognisable names – MOMA, or the Museum of Modern Art. Inside the sprawling institution, you'll find a vast collection of contemporary art with masterpieces like Van Gogh's The Starry Night and Warhol's Gold Marilyn Monroe.  You can also view works by artists like Jackson Pollock, Jasper Johns, Cindy Sherman and Elizabeth Murray. Your ticket will include a complimentary audio guide on your device as well as access to special exhibitions, films and gallery talks.",[],"['Special exhibitions', 'Audio guide on your device in nine languages']",['Transportation'],['Suitable for all fitness levels'],"['Please arrive at least 30 minutes before the activity starts.', 'Please arrive at least 30 minutes before the activity starts.']","Departure point11 West 53rd Street, New York City, NY, 10019-5401"
Statue of Liberty & Ellis Island,,,,,,,
